step_index,mean_hamming,std_hamming
1,0.24080565616409536,0.0785380733407201
2,0.1013720080416995,0.0721855820547912
3,0.03450033783518357,0.03730595218436444
4,0.03828991671096934,0.06490846693120116
5,0.04400673400673401,0.07667636633506655
6,0.034855573276625904,0.05579936639591771
7,0.03306751727804359,0.05007243261678568
8,0.03283182704235336,0.06760561539557189
9,0.031219209640262268,0.050454180990722415
10,0.04013822434875066,0.08089245473117512
11,0.04767676767676767,0.08539721552812565
12,0.02387205387205387,0.04346342304288165
13,0.03108452950558214,0.04347596291220184
14,0.05671096934254829,0.08188375144677616
15,0.03296770967823599,0.044149110587510206
